"","Achillea_millefolium","Ajuga_reptans","Alopecurus_pratensis","Anthoxanthum_odoratum","Atrichum_undulatum","Brachythecium_rutabulum","Calliergon_cuspidatum","Cardamine_pratensis","Cerastium_fontanum","Cirsium_arvense","Cirsium_palustre","Dactylorhiza_fuchsii","Eurhynchium_praelongum","Holcus_lanatus","Holcus_mollis","Hyacinthoides_non-scripta","Hypochaeris_radicata","Lolium_perenne","Lotus_corniculatus","Lotus_uliginosus","Luzula_campestris","Phleum_pratense","Poa_trivialis","Potentilla_erecta","Prunella_vulgaris","Ranunculus_acris","Ranunculus_repens","Rhytidiadelphus_squarrosus","Rubus_fruticosus","Rumex_acetosa","Stellaria_graminea","Taraxacum_officinale","Trifolium_pratense","Trifolium_repens","Veronica_chamaedrys","Veronica_serpyllifolia","Angelica_sylvestris","Centaurea_nigra","Galium_aparine","Juncus_conglomeratus","Lathyrus_pratensis","Potentilla_reptans","Pulicaria_dysenterica","Rumex_crispus","Sonchus_oleraceus","Dactylis_glomerata","Fissidens_taxifolius","Myosotis_discolor","Plagiomnium_undulatum","Plantago_lanceolata","Primula_veris","Vicia_cracca","Cynosurus_cristatus","Festuca_rubra","Bromus_hordeaceus","Ophioglossum_vulgatum","Trifolium_dubium","Vicia_tetrasperma","Festuca_pratensis","Leucanthemum_vulgare","Oxyrhynchium_hians","Poa_pratensis","Agrostis_canina","Agrostis_canina_spp_montana","Carex_flacca","Carex_hirta","Carex_pilulifera","Hieracium_pilosella","Hypericum_pulchrum","Juncus_acutiflorus","Juncus_articulatus","Pimpinella_saxifraga","Pseudoscleropodium_purum","Pteridium_aquilinum","Ranunculus_flammula","Silaum_silaus","Succisa_pratensis","Equisetum_arvense","Carex_ovalis","Conopodium_majus","Senecio_jacobaea","Alopecurus_geniculatus","Juncus_inflexus","Agrimonia_eupatoria","Galium_palustre","Potentilla_hybrid","Juncus_effusus","Achillea_ptarmica","Carex_demissa","Linum_catharticum","Crepis_capillaris","Malva_moschata","Rumex_obtusifolius","Leontodon_hispidus","Ranunculus_bulbosus","Carex_caryophyllea","Filipendula_ulmaria","Ranunculus_ficaria","Genista_tinctoria","Geranium_dissectum","Glechoma_hederacea","Urtica_dioica","Veronica_arvensis","Viola_riviniana","Bellis_perennis","Briza_media","Elymus_repens","Epilobium_montana","Festuca_ovina","Senecio_erucifolius","Trisetum_flavescens","Vicia_sativa","Myosotis_arvensis","Cruciata_laevipes","Galium_verum","Leontodon_taraxacoides","Arrhenatherum_elatius","Heracleum_sphondylium","Veronica_hederifolia","Lathyrus_nissolia","Vicia_hirsuta","Veronica_filiformis","Hypericum_humifusum","Pellia_epiphylla","Sonchus_arvensis","Cerastium_glomeratum","Ceratodon_purpureus","Cladonia_coniocraea","Cladonia_fimbriata","Galium_saxatile","Luzula_multiflora","Mentha_aquatica","Oenanthe_crocata","Poa_annua","Potentilla_sterilis","Rumex_acetosella","Senecio_vulgaris","Teuchrium_scorodonia","Veronica_officinalis","Cardamine_flexuosa","Festuca_arundinacea","Glyceria_fluitans","Heracleum_mantegazzianum","Weissia_controversa","Potentilla_anserina","Vulpia_bromoides","Carex_panicea","Dactylorhiza_praetermissa","Dactylorhiza_x_grandis","Hypericum_tetrapterum","Anemone_nemorosa","Convolvulus_arvensis","Lathyrus_montanus","Geum_urbanum","Rumex_conglomeratus","Scrophularia_nodosa","Stachys_palustris","Solanum_dulcamara","Centaurium_erythraea","Carex_laevigata","Dactylorhiza_maculata","Lychnis_flos-cuculi","Deschampsia_cespitosa","Stachys_betonica","Lapsana_communis","Silene_dioica","Danthonia_decumbens","Juncus_acutiflorus_articulatus","Molinia_caerulea","Myosotis_laxa","Pedicularis_sylvatica","Rumex_sanguineus","Senecio_aquaticus","Stellaria_alsine","Veronica_beccabunga","Digitalis_purpurea","Linaria_vulgaris","Carex_acuta","Calystegia_sepium","Impatiens_glandulifera","Phleum_pratense_ssp_bertolonii","Stachys_sylvatica","Valeriana_officinalis","Hypericum_maculatum","Leontodon_autumnalis","Tragopogon_pratensis","Allium_ursinum","Anthriscus_sylvestris","Barbarea_vulgaris","Epilobium_hirsutum","Lycopus_europaeus","Polygonum_hydropiper","Scrophularia_auriculata","Sparganium_erectum","Veronica_persica","Equisetum_palustre","Rhinanthus_minor","Galeopsis_tetrahit","Plantago_major","Caltha_palustris","Carex_nigra","Eleocharis_palustris","Equisetum_fluviatile","Hypericum_perforatum","Lysimachia_nummularia","Cirsium_vulgare","Dipsacus_fullonum","Hordeum_secalinum","Dicranoweisia_cirrata","Phalaris_arundinacea","Pleuridium_acuminatum","Avenula_pubescens","Epilobium_obscurum","Juncus_bufonius","Potentilla_anglica","Mentha_arvensis","Epilobium_ciliatum","Picris_hieracioides","Carex_otrubae","Epilobium_tetragonum","Ranunculus_sardous","Sonchus_asper","Vicia_sepium","Sagina_procumbens","Bromus_arvensis","Equisetum_telmateia","Oenanthe_pimpinelloides","Dicranella_staphylina","Plagiomnium_affine","Carex_pendula","Carex_flava","Epilobium_parviflorum","Hypericum_hirsutum","Sagina_apetala","Pseudephemerum_nitidum","Eurhynchium_striatum","Lonicera_periclymenum","Lysimachia_nemorum","Solidago_virgaurea","Thuidium_tamariscinum","Bryum_sauteri","Dicranella_heteromalla","Trichodon_cylindricus","Euphrasia_nemorosa","Trifolium_medium","Agropyron_caninum","Bryum_ruderale"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
